n_obs,nfeat,fit_intercept,method,repeat,time_skl,time_ort
1,10,True,predict,500,5.648880000000034e-05,2.94156000000001e-05
10,10,True,predict,500,5.7817000000000006e-05,2.7924000000000504e-05
100,10,True,predict,500,2.9153599999999002e-05,1.3002999999999431e-05
1000,10,True,predict,50,3.8698000000003674e-05,1.9241999999994874e-05
10000,10,True,predict,50,0.00013298000000000698,9.492799999998525e-05
100000,10,True,predict,50,0.0028456100000000006,0.00031029800000000664
1,50,True,predict,500,4.948259999999927e-05,1.3755800000000206e-05
10,50,True,predict,500,2.9071399999999415e-05,1.3548600000000021e-05
100,50,True,predict,500,3.345500000000001e-05,1.4858399999999605e-05
1000,50,True,predict,50,8.375400000000255e-05,3.8959999999992336e-05
10000,50,True,predict,50,0.001370596000000006,0.0001787739999999971
100000,50,True,predict,50,0.01640157000000002,0.0013097199999999986
1,100,True,predict,500,3.43133999999985e-05,1.243339999999904e-05
10,100,True,predict,500,2.8501999999999582e-05,1.3198400000000277e-05
100,100,True,predict,500,3.720419999999791e-05,1.8031000000000573e-05
1000,100,True,predict,50,0.0001646780000000092,8.319799999998878e-05
10000,100,True,predict,50,0.0028002979999999767,0.0003089479999999867
100000,100,True,predict,50,0.033782706,0.0023938120000000394
