n_obs,nfeat,kernel,time_skl,time_ort
1,10,linear,0.00011373199999999972,4.6471999999999626e-05
10,10,linear,0.00040132199999999953,5.483700000000091e-05
100,10,linear,0.0019108360000000023,8.412900000000167e-05
1000,10,linear,0.013901676388888888,0.00020471944444444556
10000,10,linear,0.13142677499999994,0.004167374999999973
100000,10,linear,1.3127621999999999,0.05295429999999968
1,10,poly,5.9470999999984286e-05,2.065400000001105e-05
10,10,poly,0.00019213300000000543,6.391999999999954e-05
100,10,poly,0.002192381000000001,0.0001613310000000112
1000,10,poly,0.016039398412698396,0.0008301380952381186
10000,10,poly,0.16685285000000002,0.010424533333333189
100000,10,poly,1.5376244999999997,0.11677509999999991
1,10,rbf,0.00011720900000000256,2.7986000000002066e-05
10,10,rbf,0.0007220829999999978,0.00011822699999999742
100,10,rbf,0.006866872999999991,0.0026887550000000006
1000,10,rbf,0.071683907142857,0.025334335714285925
10000,10,rbf,0.6734845499999995,0.13126394999999924
100000,10,rbf,6.592566699999999,1.0036831
1,10,sigmoid,9.227299999999161e-05,2.1614000000020895e-05
10,10,sigmoid,0.0004904360000000097,6.414399999997044e-05
100,10,sigmoid,0.005031548999999984,0.0001950310000000144
1000,10,sigmoid,0.04567042727272718,0.0011960454545453753
10000,10,sigmoid,0.4387191333333327,0.01504183333333368
100000,10,sigmoid,4.3669835000000035,0.1592683000000008
1,50,linear,0.00010536699999995847,3.2861000000039556e-05
10,50,linear,0.00031632899999998185,5.778200000001732e-05
100,50,linear,0.0024718870000000237,0.00010905900000004464
1000,50,linear,0.018908524528301888,0.00039259433962271023
10000,50,linear,0.18886296666666644,0.005419750000000316
100000,50,linear,1.871551199999999,0.06976459999999918
1,50,poly,7.54440000000045e-05,3.060300000001348e-05
10,50,poly,0.00026975900000003605,7.146400000003439e-05
100,50,poly,0.002672023999999951,0.00018797900000002698
1000,50,poly,0.0210617291666666,0.0010829333333332396
10000,50,poly,0.22214989999999943,0.011913779999999008
100000,50,poly,2.1734724000000014,0.13118150000000384
1,50,rbf,0.00014387700000000335,6.609199999999759e-05
10,50,rbf,0.0008499160000000216,0.00037596600000000535
100,50,rbf,0.008128347999999974,0.008696239999999945
1000,50,rbf,0.08078115384615413,0.0829130999999995
10000,50,rbf,0.8076653500000006,0.39080540000000497
100000,50,rbf,8.098003399999996,3.654394400000001
1,50,sigmoid,0.00010879700000003823,3.103999999993334e-05
10,50,sigmoid,0.0006209129999999164,7.168100000001231e-05
100,50,sigmoid,0.0056218180000000475,0.00021843599999996855
1000,50,sigmoid,0.050789575000000295,0.0014242250000002343
10000,50,sigmoid,0.509177600000001,0.01594769999999812
100000,50,sigmoid,5.103652699999998,0.17205069999999978
